site_no,station_nm,dec_long_va,dec_lat_va,drain_area_va,flood_stage,flood_nu,moderate_flood_stage,moderate_flood_nu,major_flood_stage,major_flood_nu,flow_dt,flow_va,stage_dt,stage_va,peak_rank,peak_count,peak_max,peak_max_yr
"03336000","WABASH RIVER AT COVINGTON, IN",-87.40668050,40.14003770,8218,16,5,24,0,29,0,2019-05-27,23800,2019-05-27,17.75,86,92,200000,1913
"03340500","WABASH RIVER AT MONTEZUMA, IN",-87.37390530,39.79253835,11118,14,5,24,0,31,0,2019-05-25,27300,2019-05-25,16.68,87,94,230000,1913
"03341500","WABASH RIVER AT TERRE HAUTE, IN",-87.41950000,39.46572220,12265,16.5,5,24.5,0,30,0,2019-05-25,28600,2019-05-25,17.59,117,127,245000,1913
"03342000","WABASH RIVER AT RIVERTON, IN",-87.56863440,39.02032020,13161,15,8,22,0,26,0,2019-05-26,31400,2019-05-26,17.09,76,82,250000,1913
"03346500","EMBARRAS RIVER AT LAWRENCEVILLE, IL",-87.66444440,38.72361110,2333,30,5,37,0,41,0,2019-05-25,11900,2019-05-25,32.12,15,16,47500,2008
"03357330","BIG WALNUT CREEK NEAR ROACHDALE, IN",-86.75334000,39.81615670,131,12,1,15,1,-999,-999,2019-05-24,10600,2019-05-24,17.99,4,16,18600,2013
"03360730","WHITE RIVER NEAR EDWARDSPORT, IN",-87.24186110,38.79505556,5015,15,5,22,0,25,0,2019-05-25,18100,2019-05-25,17.17,-9,5,61400,2013
"03374000","WHITE RIVER AT PETERSBURG, IN",-87.28945830,38.51088224,11125,16,2,23.5,0,26,0,2019-05-27,28500,2019-05-27,16.00,90,95,235000,1913
"03374100","WHITE RIVER AT HAZLETON, IN",-87.55002269,38.48976950,11305,16,2,24,0,28,0,2019-05-27,28300,2019-05-27,16.18,-9,7,138000,2011
"03378500","WABASH RIVER AT NEW HARMONY, IN",-87.94030790,38.13199014,29234,15,2,20,0,23,0,2019-05-27,74600,2019-05-27,15.22,-9,7,317000,2011
"03378635","LITTLE WABASH RIVER NEAR EFFINGHAM, IL",-88.59421790,39.10393125,240,16,1,18,0,-999,-999,2019-05-23,5440,2019-05-23,16.73,36,51,31500,2002
"03379500","LITTLE WABASH RIVER BELOW CLAY CITY, IL",-88.29726630,38.63477048,1131,18,6,22,0,25,0,2019-05-27,8330,2019-05-27,20.66,74,103,47000,1950
"04182000","ST. MARYS RIVER NEAR FORT WAYNE, IN",-85.11191400,40.98782570,762,14,2,17,0,19,0,2019-05-21,7440,2019-05-21,14.51,39,86,16000,2003
"05420400","Mississippi River at Lock and Dam 13 nr Fulton, IL",-90.15679300,41.89447250,85600,16,3,18,0,20,0,-999,-999,2019-05-27,17.35,-999,-999,-999,-999
"05420500","Mississippi River at Clinton, IA",-90.25207300,41.78058635,85600,17,8,18.5,1,20.5,0,2019-05-27,183000,2019-05-27,18.76,25,144,307000,1965
